time,open,high,low,close,volume
1577811600000,130.07,130.07,129.76,129.87,1989.02743
1577812500000,129.85,130.13,129.7,129.75,2163.86699
1577813400000,129.76,129.88,128.94,129.13,4411.95013
1577814300000,129.13,129.58,128.75,129.32,10011.5153
1577815200000,129.38,129.74,129.01,129.72,2602.89119
1577816100000,129.74,130.09,129.39,130.09,2157.51182
1577817000000,130.03,130.09,129.51,129.52,1165.52764
1577817900000,129.58,129.66,129.29,129.42,1304.36877
1577818800000,129.38,129.38,128.58,128.61,3943.72733
1577819700000,128.61,129.07,128.51,128.62,3852.51899
1577820600000,128.62,128.85,128.42,128.62,2540.38611
1577821500000,128.62,129.0,128.46,128.49,1876.43173
1577822400000,128.47,128.72,128.24,128.54,1503.83412
1577823300000,128.58,128.84,128.35,128.65,1180.46638
1577824200000,128.65,128.96,128.39,128.46,1933.86776
1577825100000,128.5,128.59,128.17,128.39,746.9434
1577826000000,128.41,128.78,128.27,128.69,916.25349
1577826900000,128.69,129.0,128.46,128.76,1445.9535
1577827800000,128.79,129.11,128.66,129.08,1505.22681
1577828700000,129.08,129.11,128.9,128.91,802.26817
1577829600000,128.88,129.02,128.73,128.83,897.51507
1577830500000,128.83,128.89,128.5,128.55,2125.79785
1577831400000,128.55,129.05,128.54,129.03,862.5336
1577832300000,129.02,129.41,128.96,129.05,2051.38798
1577833200000,129.05,129.35,128.86,129.15,977.54492
1577834100000,129.2,129.27,128.84,129.03,827.0026
1577835000000,129.03,129.35,128.94,129.27,303.53296
1577835900000,129.27,129.46,129.09,129.16,873.03475
1577836800000,129.16,129.19,128.69,128.91,1883.57914
1577837700000,128.91,129.05,128.68,128.78,3686.07368
1577838600000,128.76,129.03,128.76,128.86,1141.18288
1577839500000,128.87,128.96,128.68,128.87,1058.33766
1577840400000,128.87,129.25,128.78,129.13,1369.76626
1577841300000,129.13,130.58,129.07,130.26,5366.41718
1577842200000,130.26,130.65,130.18,130.33,2489.39299
1577843100000,130.37,130.65,129.91,130.64,2119.07873
1577844000000,130.63,130.95,130.35,130.48,2677.52701
1577844900000,130.47,130.94,130.47,130.76,1378.84259
1577845800000,130.79,130.98,130.61,130.75,1893.20604
1577846700000,130.74,130.9,130.66,130.85,1653.78059
1577847600000,130.85,130.89,130.06,130.2,2252.72265
1577848500000,130.2,130.56,130.16,130.48,835.55431
1577849400000,130.47,130.48,130.06,130.12,671.98651
1577850300000,130.06,130.34,129.94,130.2,1208.29086
1577851200000,130.21,130.42,130.16,130.22,984.03547
1577852100000,130.25,130.36,130.15,130.19,791.89104
1577853000000,130.19,130.74,130.15,130.45,1134.00692
1577853900000,130.46,130.58,130.19,130.2,487.97404
1577854800000,130.2,130.43,130.14,130.2,1523.8594
1577855700000,130.2,130.44,130.11,130.33,694.21799
1577856600000,130.32,130.39,130.19,130.31,1155.53936
1577857500000,130.31,130.47,130.23,130.3,869.98965
1577858400000,130.31,130.67,130.26,130.48,1137.73688
1577859300000,130.48,130.75,130.44,130.75,891.78258
1577860200000,130.74,130.75,130.59,130.62,483.02304
1577861100000,130.67,130.67,130.27,130.44,1156.35916
1577862000000,130.47,130.54,130.33,130.48,640.52537
1577862900000,130.47,130.71,130.38,130.58,992.74563
1577863800000,130.58,130.66,130.14,130.17,1445.94248
1577864700000,130.15,130.37,130.15,130.24,1067.96065
1577865600000,130.24,130.3,130.08,130.14,1398.76863
1577866500000,130.13,130.14,129.87,130.0,3759.76836
1577867400000,130.0,130.16,129.9,129.99,1088.57339
1577868300000,129.95,130.41,129.88,130.36,1294.33459
1577869200000,130.4,130.62,130.25,130.32,2551.47408
1577870100000,130.3,130.44,130.24,130.31,963.03746
1577871000000,130.35,130.49,130.31,130.38,509.12347
1577871900000,130.37,130.43,130.13,130.17,784.56995
1577872800000,130.17,130.57,130.07,130.56,1594.40408
1577873700000,130.55,130.61,130.36,130.59,1966.47108
1577874600000,130.59,130.79,130.49,130.78,469.29761
1577875500000,130.78,130.82,130.63,130.7,595.32893
1577876400000,130.67,130.8,130.6,130.77,689.22623
1577877300000,130.77,131.87,130.69,131.7,4759.27889
1577878200000,131.7,131.79,131.33,131.58,1718.31696
1577879100000,131.61,131.67,130.62,130.74,3680.96824
1577880000000,130.74,131.2,130.7,130.99,1527.03762
1577880900000,130.96,131.35,130.95,131.05,539.34984
1577881800000,131.02,131.37,130.96,131.25,960.72669
1577882700000,131.26,131.61,131.19,131.61,1136.19252
1577883600000,131.6,131.9,131.46,131.5,3433.24612
1577884500000,131.55,131.59,131.28,131.46,1865.17945
1577885400000,131.43,131.73,131.39,131.68,987.47715
1577886300000,131.66,131.88,131.59,131.68,874.7503
1577887200000,131.66,131.7,131.24,131.63,1544.65301
1577888100000,131.64,132.23,131.6,132.2,2896.62634
1577889000000,132.2,132.37,131.87,132.06,1946.32345
1577889900000,132.08,132.08,131.82,131.96,937.65482
1577890800000,131.95,132.2,131.93,132.01,1276.59585
1577891700000,132.01,132.03,131.6,131.74,1228.66788
1577892600000,131.74,132.4,131.71,132.03,1772.05603
1577893500000,132.03,132.17,131.67,132.08,1083.7495
1577894400000,132.08,132.38,131.82,132.23,1430.54226
1577895300000,132.23,132.25,131.78,132.06,1857.64429
1577896200000,132.05,132.4,131.96,132.33,1133.07608
1577897100000,132.33,132.95,132.27,132.85,2493.94643
1577898000000,132.86,133.05,132.42,132.6,2148.66647
1577898900000,132.62,132.91,132.39,132.69,1612.29719
1577899800000,132.69,132.72,132.27,132.29,1129.13321
1577900700000,132.29,132.53,132.29,132.34,533.91045
1577901600000,132.34,132.46,132.14,132.38,577.26059
1577902500000,132.38,132.46,131.73,131.81,1789.60108
1577903400000,131.82,132.01,131.57,131.97,1956.00287
1577904300000,131.97,132.13,131.67,132.04,1384.92886
1577905200000,132.04,132.04,131.62,131.85,883.48538
1577906100000,131.84,131.99,131.64,131.8,457.85311
1577907000000,131.8,132.16,131.74,131.82,534.48646
1577907900000,131.82,132.04,131.79,131.86,235.38948
1577908800000,131.86,131.98,131.78,131.85,268.39842
1577909700000,131.85,132.25,131.7,132.17,948.50553
1577910600000,132.17,132.2,131.89,132.11,472.54726
1577911500000,132.1,132.24,132.0,132.18,325.34164
1577912400000,132.17,132.3,132.02,132.1,574.04044
1577913300000,132.07,132.37,132.0,132.06,465.95817
1577914200000,132.06,132.18,131.68,131.95,2189.24768
1577915100000,131.95,132.2,131.71,131.78,1650.17396
1577916000000,131.82,131.82,130.3,130.68,8591.25232
1577916900000,130.69,130.73,130.34,130.41,825.39441
1577917800000,130.36,130.4,129.9,130.08,2364.74187
1577918700000,130.09,130.55,129.93,130.27,3094.67889
1577919600000,130.28,130.28,129.74,129.93,1516.29153
