time,open,high,low,close,volume
1609434000000,727.26,735.48,726.59,735.1,7840.49724
1609434900000,735.15,743.0,732.42,741.65,20332.918
1609435800000,741.65,742.64,738.0,739.69,9160.17844
1609436700000,739.7,740.09,735.47,737.2,4214.24113
1609437600000,737.2,738.64,735.28,737.64,4453.95838
1609438500000,737.64,738.26,735.86,737.95,3771.64075
1609439400000,737.99,739.71,737.01,737.81,4732.62349
1609440300000,737.81,740.96,737.77,739.87,5835.8594
1609441200000,739.88,741.0,737.97,740.46,3566.36327
1609442100000,740.41,741.45,739.88,741.04,3477.11784
1609443000000,741.06,742.0,738.19,738.91,4436.87317
1609443900000,738.88,740.0,737.36,738.83,3329.92594
1609444800000,738.76,740.2,738.1,739.74,2555.0765
1609445700000,739.73,739.95,737.61,738.46,3364.2982
1609446600000,738.32,740.49,737.61,739.16,3964.9271
1609447500000,739.16,744.5,738.65,743.96,4815.96165
1609448400000,743.96,745.0,740.63,741.7,5385.83757
1609449300000,741.7,742.57,739.09,739.65,4842.37511
1609450200000,739.68,740.83,737.57,738.21,5193.82522
1609451100000,738.21,739.03,736.52,738.24,3068.28361
1609452000000,738.23,739.77,735.88,739.58,2134.77958
1609452900000,739.58,740.2,738.39,739.03,3706.73041
1609453800000,739.12,741.04,738.37,740.88,2343.26463
1609454700000,740.89,742.5,739.91,740.48,3190.83048
1609455600000,740.46,741.44,735.83,741.07,4274.4693
1609456500000,741.07,741.7,739.0,739.82,3985.03503
1609457400000,739.89,739.9,735.52,735.53,4091.67259
1609458300000,735.55,737.89,731.83,736.42,7098.90523
1609459200000,736.42,739.0,730.03,731.14,10679.63623
1609460100000,731.14,732.28,729.33,731.6,6954.72694
1609461000000,731.55,734.29,731.45,733.54,4958.21322
1609461900000,733.54,735.59,732.38,734.07,5340.12245
1609462800000,734.08,743.47,733.37,743.41,14643.20784
1609463700000,743.43,743.78,739.69,742.2,10035.33555
1609464600000,742.19,748.5,740.81,747.26,16002.58114
1609465500000,747.2,749.0,745.7,748.28,11655.06326
1609466400000,748.27,749.0,743.57,744.41,9180.88473
1609467300000,744.45,746.67,744.31,744.96,7214.4722
1609468200000,744.96,745.63,742.27,744.3,11133.91229
