time,open,high,low,close,volume
1577811600000,130.07,130.13,128.75,129.32,18576.35985
1577815200000,129.38,130.09,129.01,129.42,7230.29942
1577818800000,129.38,129.38,128.42,128.49,12213.06416
1577822400000,128.47,128.96,128.17,128.39,5365.11166
1577826000000,128.41,129.11,128.27,128.91,4669.70197
1577829600000,128.88,129.41,128.5,129.05,5937.2345
1577833200000,129.05,129.46,128.84,129.16,2981.11523
1577836800000,129.16,129.19,128.68,128.87,7769.17336
1577840400000,128.87,130.65,128.78,130.64,11344.65516
1577844000000,130.63,130.98,130.35,130.85,7603.35623
1577847600000,130.85,130.89,129.94,130.2,4968.55433
1577851200000,130.21,130.74,130.15,130.2,3397.90747
1577854800000,130.2,130.47,130.11,130.3,4243.6064
1577858400000,130.31,130.75,130.26,130.44,3668.90166
1577862000000,130.47,130.71,130.14,130.24,4147.17413
1577865600000,130.24,130.41,129.87,130.36,7541.44497
1577869200000,130.4,130.62,130.13,130.17,4808.20496
1577872800000,130.17,130.82,130.07,130.7,4625.5017
1577876400000,130.67,131.87,130.6,130.74,10847.79032
1577880000000,130.74,131.61,130.7,131.61,4163.30667
1577883600000,131.6,131.9,131.28,131.68,7160.65302
1577887200000,131.66,132.37,131.24,131.96,7325.25762
1577890800000,131.95,132.4,131.6,132.08,5361.06926
1577894400000,132.08,132.95,131.78,132.85,6915.20906
1577898000000,132.86,133.05,132.27,132.34,5424.00732
1577901600000,132.34,132.46,131.57,132.04,5707.7934
1577905200000,132.04,132.16,131.62,131.86,2111.21443
1577908800000,131.86,132.25,131.7,132.18,2014.79285
1577912400000,132.17,132.37,131.68,131.78,4879.42025
1577916000000,131.82,131.82,129.9,130.27,14876.06749
1577919600000,130.28,130.87,129.74,130.77,3865.45991
1577923200000,130.72,130.78,130.27,130.67,3772.6667
1577926800000,130.66,130.67,130.12,130.15,3684.51912
1577930400000,130.14,130.16,128.89,129.72,19078.42209
1577934000000,129.71,129.71,128.77,129.1,11950.18634
1577937600000,129.09,129.87,128.69,129.55,8931.67759
1577941200000,129.57,129.75,129.3,129.63,7276.74256
1577944800000,129.6,129.99,129.15,129.42,4823.43405
1577948400000,129.43,129.67,128.96,129.26,6548.36046
1577952000000,129.23,130.27,129.21,130.21,7205.6708
1577955600000,130.21,130.21,129.57,129.98,5828.65169
1577959200000,129.97,130.28,129.66,129.72,8014.34789
1577962800000,129.73,129.94,129.44,129.53,4293.24985
1577966400000,129.52,129.99,129.52,129.96,3718.46074
1577970000000,129.97,130.01,128.9,129.35,8547.00635
1577973600000,129.34,129.86,129.21,129.37,5538.92471
1577977200000,129.37,129.8,129.36,129.59,5352.62034
1577980800000,129.58,129.78,126.94,127.6,32996.89479
1577984400000,127.6,127.68,126.38,127.4,40429.91193
1577988000000,127.42,127.75,127.13,127.49,7360.65888
1577991600000,127.49,127.67,127.08,127.62,4747.08642
1577995200000,127.63,127.64,126.79,127.16,5796.42079
1577998800000,127.16,127.87,127.15,127.72,2225.95265
1578002400000,127.72,127.76,127.24,127.39,2654.51024
1578006000000,127.39,127.48,126.91,127.19,2980.68108
1578009600000,127.19,127.6,126.82,127.07,7303.34389
1578013200000,127.07,127.17,125.88,126.04,12202.68649
1578016800000,126.04,127.08,125.9,126.92,14356.43191
1578020400000,126.94,127.11,126.65,126.89,6279.7682
1578024000000,126.89,130.15,126.83,129.3,47219.15382
1578027600000,129.23,129.97,128.76,129.21,13556.58641
1578031200000,129.24,129.35,128.76,129.17,9731.33188
1578034800000,129.18,129.53,128.72,128.86,16992.05519
1578038400000,128.86,133.26,128.8,132.15,74641.9522
1578042000000,132.2,132.87,131.71,132.35,26464.25904
1578045600000,132.36,132.72,131.58,132.04,10333.20316
1578049200000,132.03,132.63,131.92,132.46,6848.31903
1578052800000,132.49,132.83,131.85,132.23,13842.74842
1578056400000,132.23,133.95,132.23,133.54,14278.62513
1578060000000,133.51,133.85,130.93,131.68,22358.209
1578063600000,131.68,132.57,131.59,132.53,7514.12682
1578067200000,132.52,133.75,131.94,133.51,23716.09017
1578070800000,133.44,134.9,132.66,133.97,23183.54673
1578074400000,134.0,134.22,133.24,133.5,9525.09437
1578078000000,133.5,133.59,132.21,133.49,13761.61369
1578081600000,133.48,134.05,133.01,133.45,8673.15909
1578085200000,133.48,133.93,132.29,132.5,8141.62621
1578088800000,132.45,133.37,132.16,133.04,6493.87391
1578092400000,133.04,135.14,132.9,134.35,15637.38419
1578096000000,134.37,134.81,133.44,133.7,11609.95948
1578099600000,133.71,133.71,132.79,133.01,7514.41101
1578103200000,133.01,133.48,132.8,133.47,5970.26181
1578106800000,133.47,133.54,133.18,133.34,4705.93094
1578110400000,133.34,133.91,133.0,133.67,8118.69367
1578114000000,133.68,134.11,133.4,133.66,5335.12784
1578117600000,133.67,134.25,133.62,133.95,4892.57246
1578121200000,133.92,134.31,133.41,133.91,6023.01492
1578124800000,133.9,134.14,133.52,133.6,3244.59618
1578128400000,133.61,134.15,133.41,134.13,6704.48768
1578132000000,134.11,134.18,133.24,133.4,7592.59385
1578135600000,133.4,133.82,133.07,133.77,6376.83156
1578139200000,133.76,133.79,132.5,132.79,7795.94074
1578142800000,132.81,133.25,132.59,132.9,8563.05035
1578146400000,132.9,133.33,132.83,133.06,6020.55767
1578150000000,133.06,133.66,132.94,133.26,6858.1761
1578153600000,133.26,133.48,132.96,133.09,5885.12486
1578157200000,133.12,134.86,133.04,134.6,13659.98877
1578160800000,134.6,135.85,132.8,133.51,29686.80575
1578164400000,133.5,134.27,133.07,133.72,10640.63681
1578168000000,133.71,134.2,133.44,134.08,5274.03807
1578171600000,134.09,134.54,133.68,134.12,6182.56587
1578175200000,134.11,134.37,133.8,134.1,2829.43607
1578178800000,134.14,134.4,133.77,134.2,2791.36856
1578182400000,134.2,135.24,134.19,134.76,11892.25333
1578186000000,134.76,135.83,134.71,135.65,17758.63532
1578189600000,135.64,136.0,135.15,135.46,8724.85945
1578193200000,135.47,136.2,135.45,136.16,10456.05953
1578196800000,136.17,137.24,135.62,135.91,21424.0596
1578200400000,135.91,136.45,135.64,136.19,6916.99731
1578204000000,136.17,136.59,135.86,136.11,5316.16735
1578207600000,136.1,136.31,135.82,136.02,3628.84145
1578211200000,136.04,136.24,135.0,135.38,7865.26322
1578214800000,135.42,135.62,134.94,135.32,8754.17141
1578218400000,135.32,135.49,134.7,134.88,8272.3728
1578222000000,134.88,135.37,134.77,135.07,8530.27964
1578225600000,135.06,135.97,135.06,135.91,6019.08852
1578229200000,135.95,135.95,135.24,135.6,4724.5751
1578232800000,135.61,135.94,135.51,135.58,4658.82586
1578236400000,135.57,137.96,135.51,137.26,26839.73945
1578240000000,137.24,138.16,136.64,137.16,19498.64267
1578243600000,137.12,138.19,136.77,137.8,9651.65614
1578247200000,137.8,138.04,136.89,137.79,10517.28965
1578250800000,137.8,138.0,137.36,137.97,5636.7562
1578254400000,137.97,138.06,137.45,137.85,4709.67526
1578258000000,137.85,137.86,135.0,135.37,22064.65358
1578261600000,135.37,135.94,134.33,135.04,10623.54302
1578265200000,135.03,135.48,134.21,135.37,9636.04757
1578268800000,135.37,135.74,134.86,135.65,5948.6197
1578272400000,135.69,137.58,135.39,137.22,13306.26406
1578276000000,137.21,139.53,137.17,139.15,39940.77815
1578279600000,139.13,139.67,138.27,139.49,22249.59753
1578283200000,139.49,140.0,139.07,139.42,12831.63843
1578286800000,139.4,139.6,138.54,139.16,6570.29396
1578290400000,139.16,139.29,138.83,138.9,5477.49784
1578294000000,138.93,139.16,138.78,138.87,7014.90545
1578297600000,138.87,140.86,138.81,140.65,22173.50521
1578301200000,140.54,140.86,139.75,140.83,15646.11827
1578304800000,140.84,142.56,140.58,141.97,24296.74144
1578308400000,141.98,143.06,140.84,141.54,24949.02496
1578312000000,141.54,142.67,141.44,142.3,16279.87263
1578315600000,142.3,143.22,139.08,140.24,44834.70568
1578319200000,140.23,141.53,139.65,141.11,25738.22786
1578322800000,141.11,141.44,140.1,140.2,15072.65783
1578326400000,140.19,141.42,140.0,140.68,13978.12653
1578330000000,140.67,141.85,140.54,141.81,10471.59008
1578333600000,141.81,141.86,140.68,141.09,6346.02409
1578337200000,141.06,141.6,140.86,141.35,4744.31111
1578340800000,141.35,142.45,141.26,142.17,7905.69914
1578344400000,142.17,142.56,141.51,141.67,9432.1885
1578348000000,141.69,143.65,141.51,143.05,24253.04579
1578351600000,143.05,144.41,142.52,144.15,28558.83951
1578355200000,144.14,145.31,143.16,143.77,47783.52094
1578358800000,143.76,144.16,143.36,143.83,14921.4287
1578362400000,143.85,144.88,143.82,143.98,14591.56948
1578366000000,143.97,144.41,143.48,143.5,7255.17955
1578369600000,143.5,143.62,142.15,142.49,15652.73032
1578373200000,142.48,143.12,142.18,142.97,9474.7473
1578376800000,142.99,143.13,142.53,142.85,6027.03116
1578380400000,142.83,143.1,142.38,142.87,11829.13837
1578384000000,142.87,143.38,142.81,143.16,12507.15166
1578387600000,143.17,143.47,142.5,142.55,10159.06999
1578391200000,142.57,142.93,142.45,142.88,6861.21609
1578394800000,142.9,143.78,142.6,142.62,16297.3909
1578398400000,142.62,142.66,140.72,141.13,32223.76934
1578402000000,141.12,141.27,140.11,140.93,18342.12088
1578405600000,140.93,141.34,140.51,140.8,9773.35414
1578409200000,140.77,140.82,139.0,139.48,25384.66659
1578412800000,139.48,141.9,138.76,141.38,35147.7938
1578416400000,141.35,142.93,141.08,142.72,21092.57919
1578420000000,142.7,143.5,142.39,142.43,28405.61455
