time,open,high,low,close,volume
1609434000000,727.26,743.0,726.59,741.65,28173.41524
1609435800000,741.65,742.64,735.47,737.2,13374.41957
1609437600000,737.2,738.64,735.28,737.95,8225.59913
1609439400000,737.99,740.96,737.01,739.87,10568.48289
1609441200000,739.88,741.45,737.97,741.04,7043.48111
1609443000000,741.06,742.0,737.36,738.83,7766.79911
1609444800000,738.76,740.2,737.61,738.46,5919.3747
1609446600000,738.32,744.5,737.61,743.96,8780.88875
1609448400000,743.96,745.0,739.09,739.65,10228.21268
1609450200000,739.68,740.83,736.52,738.24,8262.10883
1609452000000,738.23,740.2,735.88,739.03,5841.50999
1609453800000,739.12,742.5,738.37,740.48,5534.09511
1609455600000,740.46,741.7,735.83,739.82,8259.50433
1609457400000,739.89,739.9,731.83,736.42,11190.57782
1609459200000,736.42,739.0,729.33,731.6,17634.36317
1609461000000,731.55,735.59,731.45,734.07,10298.33567
1609462800000,734.08,743.78,733.37,742.2,24678.54339
1609464600000,742.19,749.0,740.81,748.28,27657.6444
1609466400000,748.27,749.0,743.57,744.96,16395.35693
1609468200000,744.96,746.65,742.27,744.06,16624.14407
1609470000000,744.06,745.8,743.1,745.2,9398.85779
1609471800000,745.31,747.23,744.31,744.82,8205.9508
1609473600000,744.87,747.09,743.79,745.42,8933.32444
1609475400000,745.42,746.14,739.3,742.29,9860.8298
1609477200000,742.34,743.23,739.62,741.39,8259.15972
1609479000000,741.39,742.21,739.5,740.65,6689.10475
1609480800000,740.72,743.25,737.32,737.61,9897.02504
1609482600000,737.62,740.24,737.04,739.97,7209.96991
1609484400000,739.87,740.51,734.4,735.88,14818.55279
1609486200000,735.88,737.92,734.86,737.38,6806.13666
1609488000000,737.37,738.48,725.1,730.27,33080.09828
1609489800000,730.27,733.55,726.31,730.07,19911.95064
1609491600000,730.07,734.23,728.77,733.3,13181.99594
1609493400000,733.31,734.77,732.61,733.68,9654.47379
1609495200000,733.69,737.26,733.27,735.32,13115.53152
1609497000000,735.33,738.87,735.11,736.81,9780.06559
1609498800000,736.82,740.98,736.11,740.6,15252.17469
1609500600000,740.67,741.76,737.14,738.85,14131.92402
1609502400000,738.85,740.95,734.62,740.37,18144.01014
1609504200000,740.41,743.33,732.12,733.19,32046.46214
1609506000000,733.19,738.0,733.0,737.99,11525.53425
1609507800000,738.0,741.99,736.43,740.08,12018.02937
1609509600000,740.08,742.67,737.17,739.87,12037.26835
1609511400000,739.87,740.0,736.46,738.0,10061.1056
1609513200000,738.01,740.0,735.78,739.51,11782.20421
1609515000000,739.52,739.58,733.5,735.39,13889.40778
1609516800000,735.39,737.5,733.01,735.42,13534.13888
1609518600000,735.42,737.73,734.65,735.83,8715.20317
1609520400000,735.76,736.45,733.0,733.67,9680.2025
1609522200000,733.72,733.73,726.57,727.94,31234.06255
1609524000000,727.94,731.8,725.63,727.06,20208.21373
1609525800000,727.02,728.61,714.29,724.6,46219.53982
1609527600000,724.57,725.29,720.95,724.03,14965.79226
1609529400000,724.0,728.28,722.27,725.34,11900.56636
1609531200000,725.34,729.16,722.5,728.42,13635.76708
1609533000000,728.42,730.71,726.81,729.48,8786.5241
1609534800000,729.48,730.35,728.0,729.79,6448.60832
1609536600000,729.79,730.61,726.69,728.23,8133.54484
1609538400000,728.23,731.97,725.65,731.66,9383.6121
1609540200000,731.58,731.62,727.66,728.9,5230.59143
1609542000000,728.97,730.25,727.65,728.72,6057.41917
1609543800000,728.78,730.58,727.82,728.91,8000.77134
1609545600000,728.91,730.66,716.51,717.79,31046.72558
1609547400000,717.8,723.13,716.26,719.9,15143.44995
1609549200000,719.9,721.3,714.91,720.0,14397.23436
1609551000000,720.0,731.75,719.68,729.38,23588.22565
1609552800000,729.39,733.5,729.34,733.46,10813.37375
