time,open,high,low,close,volume
1577811600000,7212.45,7213.56,7199.0,7201.72,359.640337
1577813400000,7201.72,7204.48,7151.0,7168.12,1254.636948
1577815200000,7167.72,7168.96,7145.01,7168.24,950.526818
1577817000000,7168.22,7174.04,7156.24,7168.86,337.925096
1577818800000,7169.32,7182.14,7156.85,7175.55,444.641117
1577820600000,7175.55,7185.0,7168.0,7173.32,318.984501
1577822400000,7173.75,7180.0,7165.1,7173.95,255.602453
1577824200000,7173.56,7187.89,7169.36,7176.41,252.701559
1577826000000,7176.51,7186.7,7171.01,7185.64,238.396956
1577827800000,7185.49,7188.93,7180.1,7186.19,171.879734
1577829600000,7185.92,7194.0,7181.78,7192.9,327.649605
1577831400000,7192.42,7208.41,7182.34,7200.48,323.511472
1577833200000,7200.52,7204.94,7185.86,7190.51,290.715702
1577835000000,7190.79,7206.29,7185.76,7195.23,231.262695
1577836800000,7195.24,7196.25,7175.47,7178.45,331.185522
1577838600000,7178.19,7185.44,7175.46,7177.02,180.629379
1577840400000,7176.47,7217.0,7175.71,7212.1,355.063574
1577842200000,7212.1,7230.0,7204.28,7216.27,527.989029
1577844000000,7215.52,7238.88,7211.41,7228.09,309.018157
1577845800000,7227.12,7244.87,7226.79,7242.85,346.138652
1577847600000,7242.66,7245.0,7220.1,7237.15,440.412268
1577849400000,7237.82,7244.33,7220.0,7225.01,343.312599
1577851200000,7225.0,7229.88,7215.03,7222.23,320.556252
1577853000000,7221.21,7230.0,7216.18,7217.27,147.256326
1577854800000,7217.26,7229.76,7216.65,7220.18,177.017548
1577856600000,7220.17,7228.16,7218.05,7224.21,167.653048
1577858400000,7224.24,7236.27,7222.87,7233.71,308.6352
1577860200000,7233.28,7233.89,7221.51,7225.62,312.831823
1577862000000,7225.88,7232.94,7223.32,7231.27,247.633599
1577863800000,7231.04,7232.86,7199.11,7209.83,379.711255
1577865600000,7209.83,7210.0,7186.71,7189.97,425.088625
1577867400000,7189.97,7202.74,7180.0,7200.64,490.457349
1577869200000,7200.29,7210.51,7190.02,7196.98,347.684039
1577871000000,7197.25,7204.0,7188.0,7188.77,288.702063
1577872800000,7189.07,7206.78,7185.2,7205.95,311.984043
1577874600000,7205.95,7210.0,7197.99,7202.0,225.778761
1577876400000,7202.01,7237.73,7200.32,7222.83,490.40887
1577878200000,7222.96,7234.57,7188.61,7197.2,586.550611
1577880000000,7197.2,7221.14,7196.15,7211.23,367.511543
1577881800000,7211.35,7233.33,7206.41,7225.59,501.242037
1577883600000,7225.84,7230.5,7212.88,7221.79,355.097766
1577885400000,7221.93,7231.89,7216.0,7221.2,257.083136
1577887200000,7221.17,7233.23,7208.17,7231.37,264.683631
1577889000000,7231.32,7234.97,7216.51,7221.43,353.030554
1577890800000,7221.6,7232.59,7218.29,7228.13,432.51688
1577892600000,7228.13,7255.0,7218.46,7234.19,961.371912
1577894400000,7234.2,7238.47,7214.0,7218.68,505.838527
1577896200000,7218.61,7246.42,7216.77,7245.37,376.094253
1577898000000,7244.34,7249.99,7224.92,7244.73,781.346533
