time,open,high,low,close,volume
1609434000000,28382.47,28685.0,28362.0,28644.3,1376.203817
1609435800000,28644.3,28723.68,28520.0,28571.97,1059.353171
1609437600000,28571.97,28758.15,28424.56,28749.0,1184.013792
1609439400000,28749.0,28898.0,28724.82,28872.25,1395.405616
1609441200000,28872.24,28943.92,28742.41,28926.39,1146.815919
1609443000000,28926.39,29000.0,28860.92,28897.83,1147.00542
1609444800000,28897.84,28989.97,28862.0,28886.6,702.346884
1609446600000,28887.39,29139.65,28872.23,29126.7,1234.133415
1609448400000,29126.71,29145.0,28900.79,29094.71,1308.520552
1609450200000,29094.71,29169.55,28950.1,28966.36,1215.952559
1609452000000,28966.36,29109.97,28910.19,29062.91,817.583179
1609453800000,29062.91,29143.73,29045.75,29100.84,620.923147
1609455600000,29100.83,29110.35,28925.0,29002.88,770.016345
1609457400000,29002.88,29003.16,28780.0,28923.63,1206.402954
1609459200000,28923.63,29017.5,28690.17,28836.63,1320.688748
1609461000000,28836.63,29031.34,28836.62,28995.13,991.122697
1609462800000,28995.13,29417.87,28960.35,29385.39,3449.118444
1609464600000,29387.07,29470.0,29311.75,29409.99,1953.950027
1609466400000,29410.0,29465.26,29201.78,29298.86,1244.624776
1609468200000,29298.87,29341.21,29120.03,29194.65,1139.606784
1609470000000,29195.25,29311.0,29150.02,29215.84,692.388143
1609471800000,29216.03,29367.0,29190.83,29278.4,768.956934
1609473600000,29278.41,29395.0,29278.4,29332.81,871.915339
1609475400000,29332.81,29373.6,29029.4,29220.31,1166.131464
1609477200000,29220.31,29235.28,29084.11,29161.28,873.503629
1609479000000,29161.28,29213.4,29113.8,29187.01,596.452633
1609480800000,29187.01,29270.0,29100.0,29100.0,663.325467
1609482600000,29100.0,29205.76,29077.32,29174.35,757.400824
1609484400000,29174.35,29191.98,28806.54,29018.83,1729.839824
1609486200000,29018.83,29100.96,29000.0,29092.83,650.341094
1609488000000,29092.84,29178.03,28872.24,29033.9,1170.22345
1609489800000,29033.93,29122.0,28931.32,29000.01,837.942289
1609491600000,29000.01,29236.03,28970.0,29181.07,1092.376162
1609493400000,29181.06,29307.73,29174.47,29202.21,929.67986
1609495200000,29202.21,29344.97,29152.88,29221.71,1114.278126
1609497000000,29221.7,29311.0,29200.01,29223.82,829.977715
1609498800000,29223.82,29375.96,29212.44,29366.35,1290.247428
1609500600000,29368.93,29402.57,29238.49,29313.49,1018.980289
1609502400000,29313.49,29448.0,29186.63,29443.65,1119.54677
1609504200000,29443.65,29600.0,29150.0,29233.49,3072.368391
1609506000000,29233.49,29420.0,29200.0,29389.36,1225.47501
1609507800000,29389.36,29470.0,29354.7,29464.79,985.82328
1609509600000,29464.79,29530.0,29356.05,29415.94,1497.128295
1609511400000,29415.95,29440.12,29266.15,29327.84,1115.543875
1609513200000,29327.83,29391.0,29223.0,29297.04,1251.692479
1609515000000,29297.03,29297.04,29030.14,29188.67,1527.371415
1609516800000,29188.67,29325.0,29125.0,29277.11,863.65672
1609518600000,29277.11,29360.0,29249.23,29300.57,626.672764
1609520400000,29300.79,29339.76,29230.0,29277.25,678.967737
1609522200000,29277.24,29277.24,28937.0,29079.64,1826.009362
1609524000000,29077.59,29259.98,28984.85,29021.88,1408.47239
1609525800000,29021.88,29103.18,28624.57,29072.7,2817.957651
1609527600000,29072.7,29125.31,28950.0,29055.08,999.785781
1609529400000,29055.08,29125.32,29002.1,29029.04,629.44294
